cve_id,year,cwe,cvss_v3,cvss_v3_severity,cvss_v2,cvss_source,threat_ids,overlap_flag
CVE-2025-52622,2025,CWE-1188,5.4,MEDIUM,,v3.1,P-20,false
CVE-2021-45223,2022,CWE-20,6.5,MEDIUM,4.0,v3.1,P-21,false
CVE-2021-43824,2022,CWE-476,7.5,HIGH,4.3,v3.1,P-21,false
CVE-2021-43825,2022,CWE-416,6.1,MEDIUM,5.0,v3.1,P-21,false
CVE-2022-21655,2022,CWE-670,7.5,HIGH,4.3,v3.1,P-21,false
CVE-2021-35689,2022,NVD-CWE-noinfo,9.8,CRITICAL,7.5,v3.1,P-21,false
CVE-2022-24741,2022,CWE-400,3.5,LOW,4.3,v3.1,P-21,false
CVE-2022-20748,2022,CWE-664,5.3,MEDIUM,5.0,v3.1,P-21|P-22,true
CVE-2022-29225,2022,CWE-400,7.5,HIGH,5.0,v3.1,P-21,false
CVE-2022-31074,2022,CWE-400,4.5,MEDIUM,4.0,v3.1,P-21,false
CVE-2022-31075,2022,CWE-400,4.9,MEDIUM,3.5,v3.1,P-21,false
CVE-2022-31078,2022,CWE-400,4.4,MEDIUM,3.5,v3.1,P-21,false
CVE-2022-31079,2022,CWE-400,4.4,MEDIUM,3.5,v3.1,P-21,false
CVE-2022-39368,2022,CWE-404,8.2,HIGH,,v3.1,P-21,false
CVE-2022-39346,2022,CWE-20,3.5,LOW,,v3.1,P-21,false
CVE-2022-1109,2023,CWE-276,5.5,MEDIUM,,v3.1,P-21,false
CVE-2023-23925,2023,CWE-400,8.6,HIGH,,v3.1,P-21,false
CVE-2023-25661,2023,CWE-20,6.5,MEDIUM,,v3.1,P-21,false
CVE-2023-28644,2023,CWE-400,5.7,MEDIUM,,v3.1,P-21,false
CVE-2023-27492,2023,CWE-770,4.8,MEDIUM,,v3.1,P-21,false
CVE-2023-24513,2023,CWE-126,6.5,MEDIUM,,v3.1,P-21,false
CVE-2023-24545,2023,CWE-400,7.5,HIGH,,v3.1,P-21,false
CVE-2023-29105,2023,CWE-544,5.9,MEDIUM,,v3.1,P-21|P-22,true
CVE-2022-36329,2023,CWE-400,4.4,MEDIUM,,v3.1,P-21|P-22,true
CVE-2023-20882,2023,CWE-400,5.9,MEDIUM,,v3.1,P-21,false
CVE-2023-32716,2023,CWE-754,6.5,MEDIUM,,v3.1,P-21,false
